size,std,Winograd,optWinograd
2,1.28,1.56,1.34
10,15.3,15.12,14.36
50,665.88,669.58,640.26
100,5273.9,5006.5,4992.96
200,41825.8,39184.7,39130.6
300,145676,138221,138054
400,355970,338145,337549
500,688205,653745,656862
750,2.39764e+06,2.22481e+06,2.23059e+06
1000,5.87647e+06,5.4602e+06,5.45543e+06
1,0.86,1.14,1
11,13.92,14.38,13.42
51,714.8,708.2,687.58
101,5465.68,5209.92,5179.46
201,43404,40891.2,41091
301,152297,144547,144932
401,355688,338194,338850
501,698691,664296,664542
751,2.42642e+06,2.24988e+06,2.26394e+06
1001,5.89134e+06,5.4324e+06,5.47912e+06